info: Download starting. {"0":{"rss":59703296,"heapTotal":34959360,"heapUsed":32194120,"external":2038424},"1":[0,64827479],"timestamp":"2020-07-29T11:06:08.834Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/tivoli/logos/tivoli-logo-update.png?mw=360","1":200,"2":"image/png","3":{"rss":63614976,"heapTotal":38662144,"heapUsed":32667080,"external":1599032},"4":[10,783060200],"timestamp":"2020-07-29T11:06:19.551Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/sydney-city-oaks-on-castlereagh-3-bedroom-apartment-balcony-5.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63614976,"heapTotal":38662144,"heapUsed":32931704,"external":1618637},"4":[11,374445862],"timestamp":"2020-07-29T11:06:20.144Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-1-bedroom-bedroom-refurb--800x385.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63614976,"heapTotal":38662144,"heapUsed":33086200,"external":1646359},"4":[11,397360223],"timestamp":"2020-07-29T11:06:20.165Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/sydney-city-oaks-on-castlereagh-1-bedroom-apartment-bathroom.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63614976,"heapTotal":38662144,"heapUsed":33217088,"external":1665651},"4":[11,436604345],"timestamp":"2020-07-29T11:06:20.204Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/green-button/guest-service.png?la=en","1":200,"2":"image/png","3":{"rss":63614976,"heapTotal":38662144,"heapUsed":31901832,"external":1443733},"4":[11,476603089],"timestamp":"2020-07-29T11:06:20.244Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/oaks-on-castlereagh-swimming-pool-spa-jacuzzi.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63614976,"heapTotal":38662144,"heapUsed":31979864,"external":1446705},"4":[11,492410219],"timestamp":"2020-07-29T11:06:20.260Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-gym-2-800x385.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63614976,"heapTotal":38662144,"heapUsed":32160752,"external":1499338},"4":[11,522859856],"timestamp":"2020-07-29T11:06:20.290Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/en/uploads/minor/oaks/images/homepage/body-content/email_icon_45x45.pngâ","1":200,"2":"image/png","3":{"rss":63700992,"heapTotal":38662144,"heapUsed":32307296,"external":1542476},"4":[11,550944821],"timestamp":"2020-07-29T11:06:20.319Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-surrounds-tram-800x385.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63700992,"heapTotal":38662144,"heapUsed":32407640,"external":1569869},"4":[11,553190578],"timestamp":"2020-07-29T11:06:20.321Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/sydney-city-oaks-on-castlereagh-1-bedroom-apartment-bathroom.jpg","1":200,"2":"image/jpeg","3":{"rss":63700992,"heapTotal":38662144,"heapUsed":32593312,"external":1644642},"4":[11,576188726],"timestamp":"2020-07-29T11:06:20.344Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/600x400/studio/jpeg/sydney-city-oaks-on-castlereagh-studio-1.jpg?mw=720","1":200,"2":"image/jpeg","3":{"rss":63700992,"heapTotal":38662144,"heapUsed":32714736,"external":1665608},"4":[11,597126951],"timestamp":"2020-07-29T11:06:20.365Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/600x400/studio/jpeg/sydney-city-hotel-apartments-queen-size-bed.jpg?mw=720","1":200,"2":"image/jpeg","3":{"rss":63700992,"heapTotal":38662144,"heapUsed":32867088,"external":1712988},"4":[11,611960798],"timestamp":"2020-07-29T11:06:20.380Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/600x400/3-bedroom-apartment/jpeg/sydney-city-oaks-on-castlereagh-3-bedroom-apartment-balcony-holiday.jpg?mw=720","1":200,"2":"image/jpeg","3":{"rss":63700992,"heapTotal":38662144,"heapUsed":32980600,"external":1731531},"4":[11,620816760],"timestamp":"2020-07-29T11:06:20.388Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/600x400/1-bedroom-apartment/oaks-on-castlereagh-1-bedroom-bedroom-refurb-600x400px.jpg?mw=720","1":200,"2":"image/jpeg","3":{"rss":63700992,"heapTotal":38662144,"heapUsed":33117224,"external":1761292},"4":[11,666575692],"timestamp":"2020-07-29T11:06:20.434Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/600x400/2-bedroom-apartment/oaks-on-castlereagh-2-bedroom-twin-bedroom-refurb-1-600x400px.jpg?mw=720","1":200,"2":"image/jpeg","3":{"rss":63700992,"heapTotal":38662144,"heapUsed":33184024,"external":1781132},"4":[11,667981204],"timestamp":"2020-07-29T11:06:20.436Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/oaks-on-castlereagh-swimming-pool-spa-jacuzzi.jpg","1":200,"2":"image/jpeg","3":{"rss":63700992,"heapTotal":38924288,"heapUsed":32675376,"external":1441312},"4":[11,690254191],"timestamp":"2020-07-29T11:06:20.458Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/sydney-city-oaks-on-castlereagh-3-bedroom-apartment-balcony-5.jpg","1":200,"2":"image/jpeg","3":{"rss":63700992,"heapTotal":38924288,"heapUsed":32925000,"external":1502482},"4":[11,710692377],"timestamp":"2020-07-29T11:06:20.479Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-gym-2-800x385.jpg","1":200,"2":"image/jpeg","3":{"rss":63565824,"heapTotal":38924288,"heapUsed":33184672,"external":1576191},"4":[11,725428160],"timestamp":"2020-07-29T11:06:20.493Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-cafe-800x385.jpg","1":200,"2":"image/jpeg","3":{"rss":63565824,"heapTotal":38924288,"heapUsed":33365376,"external":1613257},"4":[11,736606620],"timestamp":"2020-07-29T11:06:20.504Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-1-bedroom-lounge-refurb-2-800x385.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63565824,"heapTotal":38924288,"heapUsed":33411008,"external":1624211},"4":[11,765854534],"timestamp":"2020-07-29T11:06:20.534Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-2-bedroom-twin-bedroom-refurb-2-800x385.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63565824,"heapTotal":38924288,"heapUsed":33443952,"external":1635014},"4":[11,768156458],"timestamp":"2020-07-29T11:06:20.536Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-surrounds-tram-800x385.jpg","1":200,"2":"image/jpeg","3":{"rss":63565824,"heapTotal":38924288,"heapUsed":33732960,"external":1678230},"4":[11,781675833],"timestamp":"2020-07-29T11:06:20.549Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/sydney-city-oaks-on-castlereagh-2-bedroom-apartment-balcony-lifestyle-2.jpg?mw=85","1":200,"2":"image/jpeg","3":{"rss":63565824,"heapTotal":38924288,"heapUsed":33815768,"external":1681283},"4":[11,818151911],"timestamp":"2020-07-29T11:06:20.586Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-1-bedroom-bedroom-refurb--800x385.jpg","1":200,"2":"image/jpeg","3":{"rss":63832064,"heapTotal":43642880,"heapUsed":33204992,"external":1449420},"4":[11,854092131],"timestamp":"2020-07-29T11:06:20.622Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/600x400/1-bedroom-apartment/jpeg/oaks-on-castlereagh-hotel-1-bedroom-apartment-balcony-view.jpg?mw=720","1":200,"2":"image/jpeg","3":{"rss":63840256,"heapTotal":43642880,"heapUsed":33336600,"external":1463279},"4":[11,877322768],"timestamp":"2020-07-29T11:06:20.645Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/800x385/new/oaks-on-castlereagh-1-bedroom-lounge-refurb-2-800x385.jpg","1":200,"2":"image/jpeg","3":{"rss":63635456,"heapTotal":43642880,"heapUsed":33664672,"external":1605315},"4":[12,137410563],"timestamp":"2020-07-29T11:06:20.905Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/images/australia/new-south-wales/sydney/castlereagh/pinterest/kangaroo-feeding-sydney.jpg","1":200,"2":"image/jpeg","3":{"rss":63635456,"heapTotal":43642880,"heapUsed":33820216,"external":1630778},"4":[12,145299801],"timestamp":"2020-07-29T11:06:20.913Z"}
